word,difficulty,trickiness,band,band_label,aoa,syllables,letters,phonemes,freq_pm,pct_known,pos,patterns
you,1,2,1,Kindergarten,4.35,1,3,2,41857.12,1.0,Pronoun,
the,1,2,1,Kindergarten,3.98,1,3,2,29449.18,1.0,Article,
to,1,1,1,Kindergarten,3.95,1,2,2,22677.84,1.0,To,
it,1,1,1,Kindergarten,4.4,1,2,2,18896.31,1.0,Pronoun,
and,1,1,1,Kindergarten,4.57,1,3,3,13387.84,0.95,Conjunction,
of,1,1,1,Kindergarten,4.55,1,2,2,11577.24,1.0,Preposition,
what,1,2,1,Kindergarten,3.86,1,4,3,9842.45,1.0,Determiner,
in,1,1,1,Kindergarten,3.69,1,2,2,9773.41,1.0,Preposition,
me,1,1,1,Kindergarten,3.28,1,2,2,9241.94,1.0,Pronoun,
this,1,2,1,Kindergarten,4.93,1,4,3,7978.73,1.0,Determiner,
he,1,1,1,Kindergarten,3.81,1,2,2,7637.2,1.0,Pronoun,
on,1,1,1,Kindergarten,4.01,1,2,2,6955.73,1.0,Preposition,
for,1,1,1,Kindergarten,4.39,1,3,3,6895.1,1.0,Preposition,
my,1,1,1,Kindergarten,2.72,1,2,2,6762.73,1.0,Pronoun,
your,1,2,1,Kindergarten,4.1,1,4,3,6445.39,1.0,Pronoun,
have,1,2,1,Kindergarten,3.72,1,4,3,6161.41,1.0,Verb,
do,1,1,1,Kindergarten,3.6,1,2,2,6135.59,1.0,Verb,
no,1,1,1,Kindergarten,2.72,1,2,2,5971.55,1.0,Interjection,
know,1,8,1,Kindergarten,4.5,1,4,2,5721.18,1.0,Verb,silent-k
not,1,1,1,Kindergarten,3.89,1,3,3,5424.96,1.0,Not,
can,1,1,1,Kindergarten,4.32,1,3,3,5247.45,1.0,Verb,
all,1,5,1,Kindergarten,4.24,1,3,2,5161.86,1.0,Determiner,double-letter
with,1,2,1,Kindergarten,4.44,1,4,3,5048.33,1.0,Preposition,
get,1,1,1,Kindergarten,3.17,1,3,3,4583.76,1.0,Verb,
here,1,2,1,Kindergarten,3.74,1,4,3,4525.25,1.0,Adverb,
but,1,1,1,Kindergarten,4.6,1,3,3,4417.47,1.0,Conjunction,
they,1,4,1,Kindergarten,4.88,1,4,2,4102.94,1.0,Pronoun,
right,1,9,1,Kindergarten,4.35,1,5,3,4008.39,1.0,Adverb,gh
like,1,2,1,Kindergarten,3.69,1,4,3,3998.96,1.0,Preposition,
out,1,1,1,Kindergarten,3.28,1,3,2,3865.31,1.0,Adverb,
go,1,1,1,Kindergarten,3.37,1,2,2,3793.04,1.0,Verb,
she,1,1,1,Kindergarten,3.57,1,3,2,3732.88,1.0,Pronoun,
up,1,1,1,Kindergarten,2.92,1,2,2,3670.0,1.0,Adverb,
him,1,1,1,Kindergarten,3.43,1,3,3,3484.51,1.0,Pronoun,
oh,1,1,1,Kindergarten,4.72,1,2,1,3289.82,1.0,Interjection,
at,1,1,1,Kindergarten,4.04,1,2,2,3217.1,0.95,Preposition,
come,1,2,1,Kindergarten,3.32,1,4,3,3140.98,1.0,Verb,
one,1,1,1,Kindergarten,3.23,1,3,3,3072.24,1.0,Number,
want,1,1,1,Kindergarten,4.16,1,4,4,2759.18,1.0,Verb,
think,1,3,1,Kindergarten,4.75,1,5,4,2691.39,1.0,Verb,
good,1,5,1,Kindergarten,3.55,1,4,3,2610.14,1.0,Adjective,double-letter
see,1,5,1,Kindergarten,3.06,1,3,2,2556.73,1.0,Verb,double-letter
let,1,1,1,Kindergarten,4.53,1,3,3,2419.24,1.0,Verb,
why,1,2,1,Kindergarten,3.97,1,3,2,2248.76,1.0,Adverb,
who,1,2,1,Kindergarten,3.81,1,3,2,2222.94,1.0,Pronoun,
his,1,1,1,Kindergarten,3.69,1,3,3,2124.78,1.0,Pronoun,
from,1,1,1,Kindergarten,4.44,1,4,4,2039.06,1.0,Preposition,
when,1,2,1,Kindergarten,4.24,1,4,3,2034.1,1.0,Conjunction,
